Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
No Checking account,24,existing credits paid back duly till now,business,4591,Savings account,1 - 4 years,2,male : single,none,3,building society savings agreement/ life insurance,54,none,own,3,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,48,no credits taken/ all credits paid back duly,business,3844,Savings account,4- 7 years,4,male : single,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,None,yes,2
Salary assignments for at least 2 year,27,existing credits paid back duly till now,business,3915,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2
No Checking account,6,existing credits paid back duly till now,radio/television,2108,Savings account,4- 7 years,2,male : married/widowed,none,2,real estate,29,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,45,existing credits paid back duly till now,radio/television,3031,Savings account,1 - 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,9,critical account/ other credits existing (not at this bank),education,1501,Savings account,> 7 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,Savings account,1 - 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,furniture/equipment,951,Savings account, < 1 year,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",27,bank,rent,4,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,24,existing credits paid back duly till now,car(used),2760,Savings account,> 7 years,4,male : single,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,delay in paying off in the past,furniture/equipment,4297,Savings account,> 7 years,4,male : divorced/separated,none,3,unknown / no property,40,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,9,critical account/ other credits existing (not at this bank),education,936,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,car(new),1168,Savings account,1 - 4 years,4,male : married/widowed,none,3,real estate,27,none,own,1,unskilled - resident,1,None,yes,1
No Checking account,27,delay in paying off in the past,business,5117,Savings account,4- 7 years,3,male : single,none,4,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,retraining,902,Savings account,4- 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),car(new),1495,Savings account,> 7 years,4,male : single,none,1,real estate,38,none,own,2,unskilled - resident,2,None,yes,1
Salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),car(used),10623,Savings account,> 7 years,3,male : single,none,4,unknown / no property,38,none,for free,3,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,Savings account,> 7 years,4,male : single,none,4,real estate,43,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,Savings account,4- 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,business,6568,Savings account,1 - 4 years,2,male : married/widowed,none,2,"car or other, not in attribute 6",21,stores,own,1,unskilled - resident,1,None,yes,1
No Checking account,12,existing credits paid back duly till now,car(used),1413,Savings account,4- 7 years,3,male : single,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1,None,no,1
No Checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,Savings account,1 - 4 years,1,male : single,none,2,real estate,33,none,own,2,skilled employee / official,2,None,yes,1
No Checking account,36,existing credits paid back duly till now,radio/television,3835,Savings account,> 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,27,no credits taken/ all credits paid back duly,business,5293,Savings account,unemployed,2,male : single,none,4,building society savings agreement/ life insurance,50,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 3 year,30,delay in paying off in the past,business,1908,Savings account,> 7 years,4,male : single,none,4,real estate,66,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",51,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,6,critical account/ other credits existing (not at this bank),retraining,932,Savings account,4- 7 years,1,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,18,no credits taken/ all credits paid back duly,business,3104,Savings account,4- 7 years,3,male : single,none,1,building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,36,existing credits paid back duly till now,radio/television,3913,Savings account,1 - 4 years,2,male : single,none,2,real estate,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3021,Savings account,1 - 4 years,2,male : divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,None,yes,1
No Checking account,10,existing credits paid back duly till now,car(new),1364,Savings account,1 - 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",64,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,625,Savings account, < 1 year,4,male : married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,education,1200,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,radio/television,707,Savings account,1 - 4 years,4,male : single,none,2,real estate,30,bank,own,2,skilled employee / official,1,None,yes,1
No Checking account,24,delay in paying off in the past,business,2978,Savings account,1 - 4 years,4,male : single,none,4,real estate,32,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,15,existing credits paid back duly till now,car(used),4657,Savings account,1 - 4 years,3,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,36,no credits taken/ all credits paid back duly,repairs,2613,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,radio/television,10961,Savings account,4- 7 years,1,male : single,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,7865,Savings account,> 7 years,4,male : single,none,4,unknown / no property,53,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,9,existing credits paid back duly till now,radio/television,1478,Savings account,4- 7 years,4,male : single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3149,Savings account, < 1 year,4,male : single,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,36,existing credits paid back duly till now,radio/television,4210,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,9,existing credits paid back duly till now,car(new),2507,Savings account,> 7 years,2,male : single,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,None,yes,1
No Checking account,12,existing credits paid back duly till now,radio/television,2141,Savings account,4- 7 years,3,male : single,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,radio/television,866,Savings account,1 - 4 years,4,male : married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,None,yes,1
No Checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,Savings account,4- 7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1823,Savings account,unemployed,4,male : single,none,2,"car or other, not in attribute 6",30,stores,own,1,"management/ self-employed/
highly qualified employee/ officer",2,None,yes,2
Salary assignments for at least 2 year,6,existing credits paid back duly till now,car(new),14555,Savings account,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,21,existing credits paid back duly till now,business,2767,Savings account,> 7 years,4,male : divorced/separated,none,2,"car or other, not in attribute 6",61,bank,rent,2,unskilled - resident,1,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,30,existing credits paid back duly till now,radio/television,2522,Savings account,> 7 years,1,male : single,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),915,Savings account,> 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,None,yes,2
No Checking account,6,existing credits paid back duly till now,radio/television,1595,Savings account,4- 7 years,3,male : single,none,2,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,48,no credits taken/ all credits paid back duly,car(used),4605,Savings account,> 7 years,3,male : single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),business,1185,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,12,all credits at this bank paid back duly,retraining,3447,Savings account,1 - 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,None,yes,1
No Checking account,24,existing credits paid back duly till now,business,1258,Savings account,4- 7 years,4,male : single,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,Savings account,> 7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee / official,1,None,yes,1
No Checking account,6,no credits taken/ all credits paid back duly,car(new),1204,Savings account,1 - 4 years,4,male : single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,None,no,1
Salary assignments for at least 3 year,24,existing credits paid back duly till now,furniture/equipment,1925,Savings account,1 - 4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,radio/television,433,Savings account,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car(new),666,Savings account,4- 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,12,existing credits paid back duly till now,furniture/equipment,2251,Savings account,1 - 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",46,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,30,existing credits paid back duly till now,car(new),2150,Savings account,1 - 4 years,4,female : divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,None,yes,2
No Checking account,24,delay in paying off in the past,furniture/equipment,4151,Savings account,1 - 4 years,2,male : single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,furniture/equipment,2030,Savings account,4- 7 years,2,male : single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,60,delay in paying off in the past,radio/television,7418,Savings account,1 - 4 years,1,male : single,none,1,real estate,27,none,own,1,unskilled - resident,1,None,yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,Savings account,1 - 4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,2149,Savings account,1 - 4 years,4,male : divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,None,yes,2
No Checking account,15,existing credits paid back duly till now,car(used),3812,Savings account, < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,Savings account,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1657,Savings account,1 - 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1603,Savings account,> 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,18,critical account/ other credits existing (not at this bank),car(new),5302,Savings account,> 7 years,2,male : single,none,4,unknown / no property,36,none,for free,3,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),education,2748,Savings account,> 7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,None,yes,1
No Checking account,10,critical account/ other credits existing (not at this bank),car(new),1231,Savings account,> 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,None,no,1
Salary assignments for at least 2 year,15,existing credits paid back duly till now,radio/television,802,Savings account,> 7 years,4,male : single,none,3,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,None,yes,2
No Checking account,36,critical account/ other credits existing (not at this bank),business,6304,Savings account,> 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,radio/television,1533,Savings account, < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,14,existing credits paid back duly till now,car(new),8978,Savings account,> 7 years,1,male : divorced/separated,none,4,building society savings agreement/ life insurance,45,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",no,2
No Checking account,24,existing credits paid back duly till now,radio/television,999,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,car(new),2662,Savings account,4- 7 years,4,male : single,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,None,no,1
No Checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,Savings account,4- 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,48,all credits at this bank paid back duly,car(new),12169,Savings account,unemployed,4,male : single,co-applicant,4,unknown / no property,36,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,radio/television,3060,Savings account,4- 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,30,existing credits paid back duly till now,repairs,11998,Savings account, < 1 year,1,male : divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2
No Checking account,9,existing credits paid back duly till now,radio/television,2697,Savings account,1 - 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee / official,2,None,yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1262,Savings account,> 7 years,2,male : divorced/separated,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
No Checking account,6,existing credits paid back duly till now,furniture/equipment,4611,Savings account, < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,24,existing credits paid back duly till now,radio/television,1901,Savings account,1 - 4 years,4,male : single,none,4,"car or other, not in attribute 6",29,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),car(used),3368,Savings account,> 7 years,3,male : single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,furniture/equipment,1574,Savings account,1 - 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,18,all credits at this bank paid back duly,radio/television,1445,Savings account,4- 7 years,4,male : single,none,4,"car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,None,yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),car(new),3878,Savings account, < 1 year,4,male : divorced/separated,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,47,existing credits paid back duly till now,car(new),10722,Savings account, < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,48,existing credits paid back duly till now,car(used),4788,Savings account,4- 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 2 year,48,delay in paying off in the past,others,7582,Savings account,unemployed,2,male : single,none,4,unknown / no property,31,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,1092,Savings account,1 - 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,delay in paying off in the past,radio/television,1024,Savings account, < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,None,yes,2
No Checking account,12,existing credits paid back duly till now,business,1076,Savings account,1 - 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,car(used),9398,Savings account, < 1 year,1,male : married/widowed,none,4,"car or other, not in attribute 6",28,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car(used),6419,Savings account,> 7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,for free,2,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,42,critical account/ other credits existing (not at this bank),car(used),4796,Savings account,> 7 years,4,male : single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,None,yes,1
No Checking account,48,critical account/ other credits existing (not at this bank),business,7629,Savings account,> 7 years,4,male : divorced/separated,none,2,"car or other, not in attribute 6",46,bank,own,2,"management/ self-employed/
highly qualified employee/ officer",2,None,yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,furniture/equipment,9960,Savings account, < 1 year,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,12,existing credits paid back duly till now,car(used),4675,Savings account, < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,None,yes,1
No Checking account,10,existing credits paid back duly till now,car(new),1287,Savings account,> 7 years,4,male : single,co-applicant,2,building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,None,no,1
No Checking account,18,existing credits paid back duly till now,furniture/equipment,2515,Savings account,1 - 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,Savings account,4- 7 years,3,male : single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,6,existing credits paid back duly till now,car(new),672,Savings account,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,36,no credits taken/ all credits paid back duly,radio/television,3804,Savings account,1 - 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 3 year,24,critical account/ other credits existing (not at this bank),car(new),1344,Savings account,4- 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,None,yes,2
Salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car(new),1038,Savings account,4- 7 years,4,male : single,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,48,critical account/ other credits existing (not at this bank),car(new),10127,Savings account,1 - 4 years,2,male : single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,None,yes,2
No Checking account,6,existing credits paid back duly till now,furniture/equipment,1543,Savings account,1 - 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,30,existing credits paid back duly till now,car(used),4811,Savings account,4- 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,727,Savings account, < 1 year,4,male : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,8,existing credits paid back duly till now,furniture/equipment,1237,Savings account,1 - 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,9,existing credits paid back duly till now,car(new),276,Savings account,1 - 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,others,5381,Savings account,unemployed,3,male : single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,furniture/equipment,5511,Savings account,1 - 4 years,4,male : single,none,1,"car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,24,existing credits paid back duly till now,furniture/equipment,3749,Savings account, < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),685,Savings account,4- 7 years,2,male : married/widowed,none,3,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 3 year,4,existing credits paid back duly till now,car(new),1494,Savings account, < 1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,None,no,1
Salary assignments for at least 1 year,36,all credits at this bank paid back duly,furniture/equipment,2746,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,708,Savings account,1 - 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,furniture/equipment,4351,Savings account,1 - 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),education,701,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,15,delay in paying off in the past,furniture/equipment,3643,Savings account,> 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,30,critical account/ other credits existing (not at this bank),car(new),4249,Savings account,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1938,Savings account, < 1 year,4,male : divorced/separated,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(used),2910,Savings account,4- 7 years,2,male : single,none,1,unknown / no property,34,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2659,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),car(new),1028,Savings account,1 - 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,8,critical account/ other credits existing (not at this bank),car(new),3398,Savings account,4- 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,None,no,1
No Checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,Savings account,> 7 years,2,male : single,none,4,building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,car(new),1525,Savings account,4- 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,36,existing credits paid back duly till now,radio/television,4473,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,6,existing credits paid back duly till now,radio/television,1068,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,None,yes,1
